Titulo,Reclamação,Status,Data,Localidade
Plano controle valor absurdo, Contratei primeiro o plano R$49.99 depois liguei alterando para R$29.99. hoje percebi que há dois meses vem me cobrand... ,Não respondida,31/10/2019, Uberlândia 
Estão me cobrando 2 linhas e tenho apenas 1 , Contratei um plano vivo no DDD 22 e após me mudar eu fui até uma loja própria da vivo em Niterói e solicitei mudança d... ,Não respondida,31/10/2019, Niterói 
Desconto não aplicado., No dia 23/08/2019 entrei em contato com a central Vivo (protocolo  20196311561696)  p/ ver desconto na minha fatura po... ,Não respondida,31/10/2019, Barra Velha 
PORTABILIDADE NUNCA EFETIVADA," Solicitei uma portabilidade da TIM para VIVO, através do site da VIVO em setembro de 2019. Depois de receber o chip, a... ",Não respondida,31/10/2019, Florianópolis 
dificuldade de se ouvir uma mensagem da caixa postal," Havendo recebido um SMS que tinha uma mensagem de voz na caixa postal, liguei para *555 esperando que me fôsse dada a ... ",Não respondida,31/10/2019, São Paulo 
Vivo controle 3.5 gb, A vivo disponibilizou uma promoção que vence hoje 31/10/2019. Vivo controle digital 3.5gb com ligações ilimitadas por ... ,Não respondida,31/10/2019, Rio de Janeiro 
Não atendimento," Liguei hoje para fazer o cancelamento e me deixaram mais de 10 minutos na linha, aguardando o atendimento por funcioná... ",Não respondida,11/11/2019, Ribeirão Preto 
[Editado pelo Reclame Aqui], Eu liguei na empresa no dia 06 de agosto e solicitei cancelamento do combo internet + telefone porque é horrível. Me f... ,Não respondida,11/11/2019, São Paulo 
Cobranças indevida de pacote," Tenho créditos no celular para comprar pacote individual de 100 GB por dia que eu usar, porém a vivo manda mensagem di... ",Não respondida,11/11/2019, Japaraíba 
Cancelamento de Bônus de ligação ilimitada sem aviso pela operadora, Estava fazendo o Checagem de gastos do meu cartão de crédito quando me deparei com 3 cobranças altíssimas da VIVO com ... ,Não respondida,11/11/2019, Machado 
Cobrança indevida, Primeiramente a vivo me cobrou contas de agosto e setembro que estavam pagas. Me disseram que a linha estava bloqueada... ,Não respondida,11/11/2019, Salvador 
Falsa portabilidade," Sou da nextel e liguei para fazer a portabilidade para a vivo, enviei dados e a atendente disse que iriam me ligar par... ",Não respondida,11/11/2019, Rio de Janeiro 
Péssimo atendimento e não alteração para o plano que é oferecido no Site.," Hoje, dia 11/11/19, entrei em contato com a central de atendimento (celular) da vivo para realizar as seguintes situaç... ",Não respondida,11/11/2019, Rio de Janeiro 
10 Linhas E1 da empresa não funcionam constantemente a mais de 1 ano, 10 Linhas E1 da empresa não funcionam constantemente a mais de 1 ano. Nunca resolveram e nem ao menos abateram algum v... ,Não respondida,11/11/2019, São Paulo 
Cobrança indevida," Sou assinante do plano de celular individual Vivo Pós, com uma mensalidade de R$ 99.00. Quando adquiri o serviço estav... ",Não respondida,11/11/2019, Porto Alegre 
Fatura errada e mal atendimento.," Boa tarde!Estou revoltado com o atendimento da vivo, além de ficar horas e dias pra tentar resolver a ques... ",Não respondida,11/11/2019, São Paulo 
Não quero receber contato da empresa, A Vivo tem me ligado constantemente pedindo para eu falar meus dados pessoais para que prossiga com um atendimento (qu... ,Não respondida,11/11/2019, Rio de Janeiro 
Cobrança indevida Plano Controle," Após mais de cinco anos, sempre pagando minha conta em dia, cancelei meu plano controle no dia 14/10/2019. Minha conta... ",Não respondida,11/11/2019, Cachoeiro de Itapemirim 
Estorno de cobranças, Gostaria de solicitar o estorno dos débitos gerados pela contratação do vivo fibra.Conforme pode ser anali... ,Não respondida,11/11/2019, Itajaí 
Cobrança indevida, A vivo nao respeita o consumidor... sem avisar eles aumentam o valor da conta. DIZEM QUE MANDAM MENSAGEM MAS A GENTE N... ,Não respondida,11/11/2019, Belo Horizonte 
Ligação não completam e caem toda hora.," A vivo hoje está insuportável em minha cidade com DDD 37, todas as ligações caem no meio da ligação, um absurdo. ",Não respondida,11/11/2019, Carmo do Cajuru 
Internet , Gostaria fe cancelar.. Péssimo atendimento.. Me informaram que teria q pagar uma conta que fazeriam o desbloqueio.. Fi... ,Não respondida,11/11/2019, Itaquaquecetuba 
